DIV,WD,County,Station Name,Data Source,DWR Abbrev,USGS Station ID,Station Status,Station Type,Date Time,Variable,Stage,Amount,Units,Flag,More Information,Location,UTM x,UTM y,Location Accuracy
1,1,WELD,UNION DITCH,"Cooperative Program of CDWR, NCWCD & LSPWCD",UNIDITCO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=UNIDITCO&MTYPE=DISCHRG,"(40.312966, -104.816267)",515611.6,4462510.5,
1,1,WELD,WELDON VALLEY DITCH,"Cooperative Program of CDWR, NCWCD & LSPWCD",WELDITCO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG,0.54,21.57,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=WELDITCO&MTYPE=DISCHRG,"(40.309577, -104.158393)",571514.3,4462458,
1,2,ADAMS,"BIG DRY CREEK AT WESTMINSTER, COLO",U.S. Geological Survey (Data Provider),BIGWESCO,06720820,Active,Stream,04/10/2019 02:30:00 PM,DISCHRG,,5.08,CFS,,http://waterdata.usgs.gov/nwis/uv?06720820,"(39.905681, -105.035389)",496975,4417289.4,User supplied
1,2,ADAMS,BRANTNER DITCH,"Cooperative Program of CDWR, NCWCD & LSPWCD",BRTDITCO,,Active,Diversion,04/10/2019 01:45:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BRTDITCO&MTYPE=DISCHRG,"(39.906726, -104.895467)",508935,4417410,
1,2,ADAMS,BRIGHTON DITCH,"Cooperative Program of CDWR, NCWCD & LSPWCD",BRGDITCO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BRGDITCO&MTYPE=DISCHRG,"(39.974467, -104.850735)",512746,4424934,
1,2,ADAMS,BRIGHTON RETURN,Cooperative SDR Program of CDWR & NCWCD,BRTWSTCO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG,0.21,2.63,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BRTWSTCO&MTYPE=DISCHRG,"(39.986061, -104.842862)",513416,4426222,
1,2,ADAMS,BURLINGTON-WELLINGTON CANAL,Co. Division of Water Resources,BURCANCO,,Active,Diversion,04/10/2019 02:30:00 PM,DISCHRG,2.57,248,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BURCANCO&MTYPE=DISCHRG,"(39.811677, -104.949749)",504301.6,4406856,
1,2,ADAMS,CHEROKEE POWER PLANT RETURN TO SOUTH PLATTE RIVER,Co. Division of Water Resources,CHERTNCO,,Active,Diversion,04/10/2019 02:30:00 PM,DISCHRG,,1.67,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CHERTNCO&MTYPE=DISCHRG,"(39.812023, -104.96003)",503421.9,4406894.5,
1,2,ADAMS,DENVER WATER REUSE DELIVERY TO CHEROKEE POWER PLANT,Co. Division of Water Resources,DWRDECCO,,Active,Diversion,04/10/2019 02:30:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=DWRDECCO&MTYPE=DISCHRG,"(39.812023, -104.96003)",503421.9,4406894.5,
1,2,ADAMS,"FIRST CR BEL BUCKLEY RD, AT ROCKY MTN ARSENAL, C",U.S. Geological Survey (Data Provider),FIRBUCCO,06720460,Active,Stream,04/10/2019 02:15:00 PM,DISCHRG,,3.3,CFS,,http://waterdata.usgs.gov/nwis/uv?06720460,"(39.808042, -104.793862)",517645,4406472.4,User supplied
1,2,ADAMS,FORD SEEP DITCH,Co. Division of Water Resources,FRDSEPCO,,Active,Diversion,04/10/2019 02:30:00 PM,DISCHRG,,0.6,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FRDSEPCO&MTYPE=DISCHRG,"(39.881475, -104.914649)",507299,4414605,Digitized
1,2,ADAMS,FULTON DITCH AT HEADGATE NEAR THORNTON,Co. Division of Water Resources,FULDITCO,,Active,Diversion,04/10/2019 02:30:00 PM,DISCHRG,0.14,0.12,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FULDITCO&MTYPE=DISCHRG,"(39.878068, -104.902351)",508350.9,4414227.5,User supplied
1,2,ADAMS,GARDENER DITCH TO CHEROKEE POWER PLANT,Co. Division of Water Resources,GDRDITCO,,Active,Diversion,04/10/2019 02:30:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=GDRDITCO&MTYPE=DISCHRG,"(39.812023, -104.96003)",503421.9,4406894.5,
1,2,ADAMS,METRO SEWER EFFLUENT AT DENVER,Co. Division of Water Resources,METSEWCO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG1,,103,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=METSEWCO&MTYPE=DISCHRG1,"(39.812483, -104.954153)",503924.2,4406946,User supplied
1,2,ADAMS,METRO SEWER EFFLUENT AT DENVER,Co. Division of Water Resources,METSEWCO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG2,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=METSEWCO&MTYPE=DISCHRG2,"(39.812483, -104.954153)",503924.2,4406946,User supplied
1,2,ADAMS,METRO SEWER EFFLUENT AT DENVER,Co. Division of Water Resources,METSEWCO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG3,,120,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=METSEWCO&MTYPE=DISCHRG3,"(39.812483, -104.954153)",503924.2,4406946,User supplied
1,2,ADAMS,NORTH RESERVOIR COMPLEX INFLOW,Co. Division of Water Resources,NCPXINCO,,Active,Stream,03/20/2019 10:45:00 AM,DISCHRG,,8.18,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=NCPXINCO&MTYPE=DISCHRG,"(39.907037, -104.893757)",509082.1,4417444,User supplied
1,2,ADAMS,NORTH RESERVOIR COMPLEX OUTFLOW,Co. Division of Water Resources,NCPOUTCO,,Active,Stream,04/09/2019 09:30:00 AM,DISCHRG,,5.29,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=NCPOUTCO&MTYPE=DISCHRG,"(39.907037, -104.893757)",509082.1,4417444,GPS
1,2,ADAMS,"SAND CREEK ABOVE BURLINGTON DITCH NEAR COMMERCE CITY, CO",U.S. Geological Survey (Data Provider),SANABDCO,06714360,Active,Stream,04/10/2019 02:15:00 PM,DISCHRG,,33.9,CFS,,http://waterdata.usgs.gov/nwis/uv?06714360,"(39.810062, -104.950413)",504244.4,4406677.5,
1,2,ADAMS,"SAND CREEK AT MOUTH NR COMMERCE CITY,CO",U.S. Geological Survey (Data Provider),SANCOMCO,394839104570300,Active,Stream,04/10/2019 02:50:00 PM,DISCHRG,,32.3,CFS,,http://waterdata.usgs.gov/nwis/uv?394839104570300,"(39.810972, -104.951583)",504144.2,4406778.4,User supplied
1,2,ADAMS,SOUTH PLATTE PUMP STATION DELIVERY TO CHEROKEE POWER PLANT,Co. Division of Water Resources,SPPUMPCO,,Active,Diversion,04/10/2019 02:30:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SPPUMPCO&MTYPE=DISCHRG,"(39.812023, -104.96003)",503421.9,4406894.5,
1,2,ADAMS,"SOUTH PLATTE R AT 64TH AVE. COMMERCE CITY, CO.",U.S. Geological Survey (Data Provider),PLASIXCO,06714215,Active,Stream,04/10/2019 02:45:00 PM,DISCHRG,,7.6,CFS,,http://waterdata.usgs.gov/nwis/uv?06714215,"(39.812208, -104.958313)",503568.1,4406915.3,User supplied
1,2,ADAMS,SOUTH PLATTE RIVER AT HENDERSON,Co. Division of Water Resources,PLAHENCO,06720500,Active,Stream,04/10/2019 02:30:00 PM,DISCHRG1,3.55,212,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PLAHENCO&MTYPE=DISCHRG1,"(39.9224, -104.868855)",511207.9,4419151.5,
1,2,ADAMS,SOUTH RESERVOIR COMPLEX INFLOW,Co. Division of Water Resources,SCPXINCO,,Active,Stream,03/07/2019 12:00:00 PM,DISCHRG,,0.18,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SCPXINCO&MTYPE=DISCHRG,"(39.815496, -104.946954)",504541,4407280,Digitized
1,2,ADAMS,SOUTH RESERVOIR COMPLEX OUTFLOW,Co. Division of Water Resources,SCPOUTCO,,Active,Stream,04/09/2019 07:00:00 AM,DISCHRG,,50.6,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SCPOUTCO&MTYPE=DISCHRG,"(39.824354, -104.950687)",504221,4408263,Digitized
1,2,ADAMS,TU RECHARGE AREA INFLOW,Co. Division of Water Resources,TURECGCO,,Active,Stream,04/10/2019 02:00:00 PM,DISCHRG,,0.29,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=TURECGCO&MTYPE=DISCHRG,"(39.988587, -104.736429)",522503,4426523,Digitized
1,2,ADAMS,WEST GRAVEL LAKES COMBINED,Co. Division of Water Resources,WGLINLCO,,Active,Stream,04/10/2019 02:30:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=WGLINLCO&MTYPE=DISCHRG,"(39.848946, -104.951302)",504166,4410993,
1,2,JEFFERSON,FARMERS HIGHLINE SIGNAL DITCH,Co. Division of Water Resources,SIGDITCO,,Active,Stream,04/10/2019 02:30:00 PM,DISCHRG,,0.98,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SIGDITCO&MTYPE=DISCHRG,"(39.920815, -104.977133)",501955,4418968,GPS
1,2,WELD,ABBETT DITCH,Cooperative SDR Program of CDWR & NCWCD,ABBDITCO,,Active,Diversion,04/10/2019 11:00:00 AM,DISCHRG,0.05,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=ABBDITCO&MTYPE=DISCHRG,"(40.203668, -104.854111)",512416,4450373,
1,2,WELD,BEEMAN DITCH DELIVERY TO FORT ST. VRAIN POWER PLANT,Cooperative SDR Program of CDWR & NCWCD,BNSVPPCO,,Active,Stream,04/10/2019 02:00:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BNSVPPCO&MTYPE=DISCHRG,"(40.232965, -104.867378)",511282,4453623,
1,2,WELD,BEEMAN RETURN TO ST. VRAIN CREEK,Cooperative SDR Program of CDWR & NCWCD,BMSVRTCO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BMSVRTCO&MTYPE=DISCHRG,"(40.245395, -104.88131)",510095,4455001,
1,2,WELD,BIG DRY CREEK AT MOUTH NEAR FORT LUPTON,Co. Division of Water Resources,BIGDAFCO,06720990,Active,Stream,04/10/2019 02:30:00 PM,DISCHRG,1.24,7.79,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BIGDAFCO&MTYPE=DISCHRG,"(40.043577, -104.849199)",512865.1,4432603.5,User supplied
1,2,WELD,BRIGHTON DITCH TAIL,Cooperative SDR Program of CDWR & NCWCD,BRITAICO,,Active,Diversion,04/10/2019 01:45:00 PM,DISCHRG,0,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BRITAICO&MTYPE=DISCHRG,"(40.065536, -104.835667)",514014,4435044,
1,2,WELD,CCWCD FULTON DITCH AUG RTN,Co. Division of Water Resources,CENFULCO,,Active,Diversion,04/10/2019 02:15:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CENFULCO&MTYPE=DISCHRG,"(40.065638, -104.821711)",515205,4435057,
1,2,WELD,CCWCD GODFREY DITCH AUG RETURN,Co. Division of Water Resources,CENGODCO,,Active,Diversion,04/10/2019 02:30:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CENGODCO&MTYPE=DISCHRG,"(40.354475, -104.711009)",524541,4467141,Digitized
1,2,WELD,CCWCD LUPTON BOTTOMS 14.5 AUG RTN,Co. Division of Water Resources,CENTLBCO,,Active,Diversion,04/10/2019 01:30:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CENTLBCO&MTYPE=DISCHRG,"(40.095348, -104.823277)",515064,4438355,
1,2,WELD,EVANS #2 DITCH,Co. Division of Water Resources,EVANS2CO,,Active,Diversion,04/10/2019 02:30:00 PM,DISCHRG,0.51,18.5,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=EVANS2CO&MTYPE=DISCHRG,"(40.129434, -104.81496)",515766.5,4442139,User supplied
1,2,WELD,FARMERS INDEPENDENT DITCH,"Cooperative Program of CDWR, NCWCD & LSPWCD",FRMDITCO,,Active,Diversion,04/10/2019 01:00:00 PM,DISCHRG,0.07,0.66,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FRMDITCO&MTYPE=DISCHRG,"(40.205724, -104.826171)",514793.4,4450605.5,
1,2,WELD,FARMERS INDEPENDENT DITCH TAIL,Cooperative SDR Program of CDWR & NCWCD,FIDTAICO,,Active,Diversion,04/10/2019 01:45:00 PM,DISCHRG,0.06,0.18,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FIDTAICO&MTYPE=DISCHRG,"(40.343823, -104.720017)",523779,4465957,
1,2,WELD,FT LUPTON SEC 3 AUG RETURN,Co. Division of Water Resources,FUL3RTCO,,Active,Diversion,04/10/2019 02:30:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FUL3RTCO&MTYPE=DISCHRG,"(40.080048, -104.806719)",516480,4436659,GPS
1,2,WELD,FT LUPTON SEC 3 HG,Co. Division of Water Resources,FUL3HGCO,,Active,Stream,04/10/2019 02:30:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FUL3HGCO&MTYPE=DISCHRG,"(40.06909, -104.789922)",517915,4435446,GPS
1,2,WELD,FT. SAINT VRAIN POWER PLANT RETURN TO ST. VRAIN CREEK,Cooperative SDR Program of CDWR & NCWCD,SVPPRTCO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG,0.36,1.64,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SVPPRTCO&MTYPE=DISCHRG,"(40.246725, -104.878286)",510352,4455149,
1,2,WELD,HODGSON DITCH,Cooperative SDR Program of CDWR & NCWCD,HODDITCO,,Active,Diversion,04/10/2019 12:45:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=HODDITCO&MTYPE=DISCHRG,"(40.208276, -104.849835)",512779,4450885,
1,2,WELD,JAY THOMAS DITCH,Cooperative SDR Program of CDWR & NCWCD,JAYTOMCO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=JAYTOMCO&MTYPE=DISCHRG,"(40.262881, -104.863992)",511565,4456944,
1,2,WELD,KOENIG RESERVOIR INLET,Co. Division of Water Resources,CENKNGCO,,Active,Stream,04/10/2019 02:15:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CENKNGCO&MTYPE=DISCHRG,"(40.131205, -104.830237)",514464,4442333,Digitized
1,2,WELD,LOWER LATHAM AUGMENTATION BYPASS,"Cooperative Program of CDWR, NCWCD & LSPWCD",LLABYPCO,,Active,Diversion,04/10/2019 01:00:00 PM,DISCHRG,0.22,5.13,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LLABYPCO&MTYPE=DISCHRG,"(40.361604, -104.704244)",525112,4467935,
1,2,WELD,LOWER LATHAM BYPASS NO 2,"Cooperative Program of CDWR, NCWCD & LSPWCD",LLABY2CO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LLABY2CO&MTYPE=DISCHRG,"(40.36188, -104.702994)",525218,4467966,
1,2,WELD,LOWER LATHAM DITCH,"Cooperative Program of CDWR, NCWCD & LSPWCD",LLADIVCO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG,0.83,42.91,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LLADIVCO&MTYPE=DISCHRG,"(40.36151, -104.702372)",525271,4467925,
1,2,WELD,LUPTON BOTTOM DITCH,"Cooperative Program of CDWR, NCWCD & LSPWCD",LPBDITCO,,Active,Diversion,04/10/2019 01:00:00 PM,DISCHRG,0.39,10.36,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LPBDITCO&MTYPE=DISCHRG,"(40.035209, -104.829469)",514549,4431679,
1,2,WELD,LUPTON BOTTOM DITCH EAST AUG RET,"Cooperative Program of CDWR, NCWCD & LSPWCD",LPBEASCO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LPBEASCO&MTYPE=DISCHRG,"(40.139722, -104.831942)",514317,4443278,
1,2,WELD,LUPTON BOTTOM DITCH WEST AUG RET,"Cooperative Program of CDWR, NCWCD & LSPWCD",LPBWESCO,,Active,Diversion,04/10/2019 12:45:00 PM,DISCHRG,0.39,1.41,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LPBWESCO&MTYPE=DISCHRG,"(40.094759, -104.839656)",513668,4438287,
1,2,WELD,MEADOW ISLAND #2 AND BEEMAN COMBINED,"Cooperative Program of CDWR, NCWCD & LSPWCD",MDWDITCO,,Active,Diversion,04/10/2019 01:00:00 PM,DISCHRG,0.02,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=MDWDITCO&MTYPE=DISCHRG,"(40.169456, -104.841608)",513486.8,4446577.5,
1,2,WELD,MEADOW ISLAND NO 1 DITCH,"Cooperative Program of CDWR, NCWCD & LSPWCD",MEDIS1CO,,Active,Diversion,04/10/2019 01:00:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=MEDIS1CO&MTYPE=DISCHRG,"(40.136319, -104.838572)",513752,4442900,
1,2,WELD,"METRO WASTEWATER NORTHERN TREATMENT PLANT NEAR BRIGHTON, CO",Co. Division of Water Resources,METNTPCO,,Active,Diversion,04/10/2019 02:30:00 PM,DISCHRG,,8.19,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=METNTPCO&MTYPE=DISCHRG,"(40.001272, -104.825641)",514883,4427913,
1,2,WELD,PATTERSON DITCH,Cooperative SDR Program of CDWR & NCWCD,PATDITCO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG,0.02,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PATDITCO&MTYPE=DISCHRG,"(40.398099, -104.645931)",530047,4472004,
