Time,F_Scale,Location,County,State,Lat,Lon,Comments
1955,UNK,3 WNW TURNER CITY,DOUGHERTY,GA,31.61,-84.15,POWER LINES DOWN AT THE 400 BLOCK OF PHILEMA ROAD. (TAE)
2035,UNK,6 NNW HONORAVILLE,BUTLER,AL,31.92,-86.46,DAMAGE REPORTED TO HOMES AND MULTIPLE TREES DOWN NEAR STEINER STORE ROAD AND SPRING CREEK RD NORTHEAST OF GREENVILLE... AL. POSSIBLE TORNADO. TIME ESTIMATED BY RADAR. (MOB)
2039,UNK,4 N HONORAVILLE,CRENSHAW,AL,31.91,-86.41,DAMAGE REPORTED TO TREES AND STRUCTURES NEAR THE VICINITY OF BOWDEN ROAD. POSSIBLE TORNADO. TIME ESTIMATED FROM RADAR. (MOB)
2043,UNK,2 SSE FREEMANVILLE,ESCAMBIA,AL,31.05,-87.51,SEVERAL TREES AND TREETOPS DOWN NW OF ATMORE... AL ALONG JACK SPRINGS RD. TIME ESTIMATED BY RADAR. (MOB)
2043,UNK,2 S HAMILTON,HARRIS,GA,32.73,-84.87,TREES DOWN ACROSS GA HIGHWAY 1 BLOCKING THE HIGHWAY. (FFC)
2044,UNK,PAYNE CITY,BIBB,GA,32.85,-83.68,REPORTS OF A FALLEN TREE ON A HOUSE NEAR PAYNE... BIBB COUNTY ON MORGAN DR (FFC)
2120,UNK,2 NNW PEROTE,BULLOCK,AL,31.99,-85.72,BULLOCK COUNTY EMA REPORTS NUMEROUS TREES DOWN NEAR THE BLUES STAND AND PEROTE COMMUNITIES. TIME ESTIMATED BY RADAR. POSSIBLE TORNADO DAMAGE. (BMX)
2132,UNK,ENIGMA,BERRIEN,GA,31.41,-83.33,POWER POLES SNAPPED AND TRACTOR TRAILER TIPPED OVER IN MEDIAN OF HIGHWAY 82 NEAR ENIGMA. QUARTER SIZE HAIL REPORTED AS WELL. (TAE)
2135,UNK,4 WSW RED OAK,COVINGTON,AL,31.11,-86.52,SEVERAL TREES DOWN ALONG OPEN POND RD WITH ONE FALLING ON A CAR. TIME ESTIMATED BY RADAR. (MOB)
2147,UNK,3 SSW HILLTONIA,SCREVEN,GA,32.84,-81.67,SCREVEN 911 CENTER REPORTED A TREE DOWN AT BEAVER DAM ROAD AND ROLLING ROAD. (CHS)
2156,UNK,3 NW ESTILL,HAMPTON,SC,32.78,-81.28,SOUTH CAROLINA HIGHWAY PATROL REPORTED A TREE DOWN ON OLD ORANGEBURG ROAD NEAR GOODWILL ROAD. (CHS)
2202,UNK,4 WNW DOUGLAS,COFFEE,GA,31.54,-82.91,CORRECTS PREVIOUS TORNADO REPORT FROM 4 WNW DOUGLAS. EMERGENCY MANAGER REPORTS THAT FUNNEL CLOUD DID NOT TOUCH DOWN. A MOBILE HOME THAT HAD A NEW ROOF OVERLAID ON TOP O (JAX)
2215,UNK,GASKIN,WALTON,FL,30.97,-86.14,SCATTERED TREES DOWN IN THE NORTHERN PART OF WALTON COUNTY. (TAE)
2215,UNK,4 ENE GEORGETOWN,QUITMAN,GA,31.9,-85.04,DAMAGE TO A BARN ALONG HIGHWAY 27 SOUTH. (TAE)
2226,UNK,1 SE NEWTON,DALE,AL,31.32,-85.59,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM 1 SE NEWTON. POWER POLE DOWN ON HARTFORD STREET IN DALE COUNTY. CORRECTED TIME OF EVENT. (TAE)
2230,UNK,LULAVILLE,BEN HILL,GA,31.77,-83.24,TREE DOWN IN BEN HILL COUNTY. EXACT LOCATION NOT AVAILABLE. (TAE)
2236,61,5 N VALPARAISO,OKALOOSA,FL,30.59,-86.5,61 MPH WIND GUST REPORTED ON EGLIN AFB. (MOB)
2240,UNK,1 NNE PLEASANT RIDGE,WALTON,FL,30.71,-86.16,ALL I-10 EASTBOUND LANES CLOSED NEAR MM 83 DUE TO DOWNED TREES. (TAE)
2245,UNK,ESTO,HOLMES,FL,30.98,-85.65,POWER LINE DOWN IN ESTO. (TAE)
2250,UNK,2 S PECAN,CLAY,GA,31.61,-84.99,TREES DOWN ALONG HIGHWAY 37. (TAE)
2250,UNK,5 NNW EVANS,COLUMBIA,GA,33.57,-82.19,TREES DOWN ON WASHINGTON RD NEAR KNOB HILL FARM RD. TREES ALSO DOWN ON GIBBS RD... AND CONIFER TRAIL. ROOF AND SHINGLE DAMAGE IN BERKLEY HILLS SUBDIVISION. POSSIBLE TOR (CAE)
2255,UNK,2 S SLOCOMB,GENEVA,AL,31.08,-85.59,MULTIPLE TREES AND POWERLINES DOWN WITH TREES ON HOUSES REPORTED. (TAE)
2255,UNK,6 W MURPHYS ESTATES,EDGEFIELD,SC,33.61,-82.05,SEVERAL LARGE TREES SNAPPED OFF AT MORGANA PLACE AND WOODLAND ROAD. POSSIBLE TORNADO. (CAE)
2257,UNK,DAWSON,TERRELL,GA,31.77,-84.45,POWER LINE DOWN AROUND FORRESTER DRIVE AND ROUNDTREE. (TAE)
2311,UNK,4 SSE BAXLEY,Appling,GA,31.71,-82.33,911 CALL CENTER REPORTED A TREE DOWN ON HIGHWAY 15 BY RED OAK ROAD. (JAX)
2313,UNK,1 SE NEWTON,DALE,AL,31.32,-85.59,POWER POLE DOWN ON HARTFORD STREET IN DALE COUNTY. (TAE)
2315,UNK,MERRIWEATHER DISTRICT,EDGEFIELD,SC,33.61,-82.04,COUNTY EM REPORTED A LARGE NUMBER OF TREES DOWN. ONE HOME DESTROYED ON WOODLAWN ROAD IN THE MERRIWEATHER DISTRICT. (CAE)
2316,UNK,5 ENE ODUM,Wayne,GA,31.69,-81.94,911 CALL CENTER REPORTED A TREE DOWN ON STATE ROAD 169 NEAR BETHESDA ROAD BLOCKING THE SOUTH BOUND LANE. TIME ESTIMATED BY RADAR. (JAX)
2320,UNK,BONIFAY,HOLMES,FL,30.79,-85.68,TREE DOWN IN THE BONIFAY AREA. (TAE)
2328,UNK,LEARY,CALHOUN,GA,31.49,-84.51,2 TREES REPORTED DOWN IN LEARY. (TAE)
2330,UNK,1 E SUNNY HILLS,WASHINGTON,FL,30.69,-85.5,REPORT OF A POWER LINE DOWN ON REX CIRCLE. (TAE)
2330,UNK,2 NNW CROSBY,HOUSTON,AL,31.07,-85.1,TREES DOWN NEAR 10808 EAST COUNTY ROAD 8. (TAE)
2332,62,6 NE WEST BAY,BAY,FL,30.36,-85.8,ECP... NORTHWEST FLORIDA - INTERNATIONAL APRT REPORTED 62 MPH WINDS. (TAE)
2334,UNK,2 S MONETTA,AIKEN,SC,33.83,-81.62,SEVERAL LARGE TREES BLOWN DOWN ON CENTIPEDE ROAD. POSSIBLE TORNADO. (CAE)
2341,UNK,1 SSW STEELE CITY,JACKSON,FL,30.72,-85.39,AT LEAST 3 HOMES WITH SIGNIFICANT DAMAGE NEAR BROCK AND SYFRETT ROADS. (TAE)
2356,UNK,5 W MURPHYS ESTATES,EDGEFIELD,SC,33.61,-82.03,SOCIAL MEDIA REPORT WITH PHOTOS OF EXTENSIVE DAMAGE TO A GAS STATION IN SPORTSMANS CORNER OFF MARTINTOWN RD. MULTIPLE GAS PUMPS KNOCKED OVER WITH LARGE TREE LIMBS DAMAG (CAE)
0000,UNK,ALTHA,CALHOUN,FL,30.57,-85.13,PHOTO OF TREES DOWN IN THE ALTHA AREA. (TAE)
0000,UNK,4 NNE SHARPHAGEN,SEMINOLE,GA,31.06,-84.8,TREES AND POWER LINES DOWN ON BUR LANE ROAD. (TAE)
0000,UNK,2 WSW RED BANK,LEXINGTON,SC,33.92,-81.28,POWER LINES DOWNED AT ROBBIE RD AND MUDDY SPRINGS ROAD. TIME ESTIMATED BY RADAR. POSSIBLE TORNADO. (CAE)
0002,UNK,1 E RETREAT,LIBERTY,GA,31.7,-81.39,*** 1 INJ *** MULTIPLE VEHICULAR ACCIDENTS DUE TO STORM DEBRIS... BETWEEN MILE MARKERS 70 AND 73 ON I-95. DAMAGE INCLUDED A TRUCK THAT WAS HIT BY STORM DAMAGE DEBRIS... (CHS)
0008,UNK,2 N ELDORENDO,MILLER,GA,31.08,-84.66,POWER LINES DOWN ALONG WHITES BRIDGE ROAD. POSSIBLE TORNADO. (TAE)
0012,UNK,1 NE BETHANY,DECATUR,GA,30.87,-84.72,TREES AND POWER LINES DOWN ALONG SOUTH SPRING CREEK ROAD. POSSIBLE TORNADO. (TAE)
0015,UNK,BLOUNTSTOWN,CALHOUN,FL,30.41,-85.08,TREES AND POWER LINES REPORTED DOWN THROUGHOUT CALHOUN COUNTY. (TAE)
0016,UNK,2 N WEST COLUMBIA,RICHLAND,SC,34.02,-81.09,SEVERAL TREES DOWN ALONG GRACERN ROAD. POSSIBLE TORNADO. (CAE)
0018,UNK,BRISTOL,LIBERTY,FL,30.43,-84.98,POWER LINE DOWN IN BRISTOL. (TAE)
0020,UNK,2 WSW OAK GROVE,LEXINGTON,SC,33.97,-81.18,PUBLIC REPORTED TOP TWISTED FROM A PINE TREE AND OTHER TREES DAMAGED ON JANNA COURT. (CAE)
0043,UNK,OMEGA,TIFT,GA,31.34,-83.59,COUPLE OF TREES DOWN IN THE OMEGA AREA. (TAE)
0045,UNK,HOSFORD,LIBERTY,FL,30.39,-84.8,TREE DOWN IN HOSFORD. (TAE)
0056,102,2 SW CAIRO,GRADY,GA,30.86,-84.23,MEASURED BY GA MESONET SITE ALONG TORNADO TRACK JUST SOUTH OF CAIRO (TAE)
0116,UNK,1 NNW COLUMBIA,RICHLAND,SC,34.02,-81.04,COLUMBIA PD REPORTED AN UPROOTED TREE FELL AND DAMAGED A HOME AT THE 1100 BLOCK OF PRICE AVENUE. TIME ESTIMATED BASED ON RADAR. (CAE)
0120,UNK,1 W BAUM,LEON,FL,30.49,-84.11,TREES AND POWER LINES DOWN ON MAHAN DR. (TAE)
0130,UNK,WAKULLA SPRINGS,WAKULLA,FL,30.24,-84.3,FALLEN TREES OR LIMBS RESULTED IN A POWER OUTAGE. (TAE)
0130,UNK,3 NE LLOYD,JEFFERSON,FL,30.51,-83.98,FALLEN TREES OR LIMBS RESULTED IN A POWER OUTAGE. REPORT VIA DUKE ENERGY WEBSITE. (TAE)
0220,UNK,1 SE SECOTAN,TAYLOR,FL,30.16,-83.62,FALLEN TREES OR LIMBS RESULTED IN A POWER OUTAGE. (TAE)
0305,78,7 SW FISHERMANS ISLAND,ANZ632,VA,37.04,-76.08,MESONET STATION XBBT... THIRD ISLAND. (AKQ)
Time,Size,Location,County,State,Lat,Lon,Comments
1810,100,GROSSE TETE,IBERVILLE,LA,30.41,-91.44,(LIX)
1955,100,ASHBURN,TURNER,GA,31.71,-83.65,QUARTER SIZE HAIL REPORTED IN ASHBURN GEORGIA. (TAE)
2010,100,BLAKELY,EARLY,GA,31.38,-84.94,QUARTER SIZE HAIL AT THE 911 CENTER AT THE EARLY COUNTY SHERIFFS OFFICE. (TAE)
2010,175,2 SW REBECCA,TURNER,GA,31.79,-83.51,GOLF BALL SIZED HAIL REPORTED SW OF REBECCA. QUARTER AND GOLF BALL SIZE HAIL COVERED AND ACCUMULATED ON HIGHWAY 112. (TAE)
2025,175,JACK BROWN ESTATES,CRAWFORD,GA,32.7,-83.78,HAM RADIO REPORT OF GOLF BALL SIZED HAIL NORTH OF BYRON (FFC)
2030,200,2 NNW ELBERTA,BIBB,GA,32.69,-83.64,EM REPORTS 2 INCH HAIL AT BIBB-MACON REGIONAL AIRPORT (FFC)
2039,100,PORTAL,BULLOCH,GA,32.54,-81.93,A PICTURE ON FACEBOOK WAS RELAYED BY THE BROADCAST MEDIA OF HAIL UP TO THE SIZE OF QUARTERS IN PORTAL. (CHS)
2104,175,3 SSW ABBA,IRWIN,GA,31.72,-83.38,GOLF BALL SIZED HAIL REPORTED. (TAE)
2110,150,CHULA,TIFT,GA,31.55,-83.55,ACCUMULATED QUARTER TO PING PONG SIZE HAIL ON INTERSTATE 75 BETWEEN EXITS 67 AND 69. HAIL ACCUMULATED UP TO AN INCH ON THE SIDE OF A ROAD. (TAE)
2130,100,5 ENE HUNTERS,SCREVEN,GA,32.69,-81.48,SCREVEN 911 CENTER REPORTED QUARTER SIZE HAIL NEAR POOR ROBIN RD. AND HWY 24. (CHS)
2134,100,2 NW ALAPAHA,BERRIEN,GA,31.4,-83.24,TREE DOWN BLOCKING 129 N AND QUARTER SIZE HAIL. (TAE)
2150,100,ASHBURN,TURNER,GA,31.71,-83.65,QUARTER SIZE HAIL IN ASHBURN GEORGIA. (TAE)
2202,100,DOUGLAS,COFFEE,GA,31.51,-82.85,MEDIA RELAYED A PHOTO ON SOCIAL MEDIA OF QUARTER SIZE HAIL IN DOUGLAS... GA. TIME ESTIMATED BY RADAR. (JAX)
2202,100,5 SSE BROXTON,Coffee,GA,31.55,-82.86,MEDIA RELAYED A PHOTO ON SOCIAL MEDIA OF QUARTER SIZE HAIL IN DOUGLAS... GA AT COFFEE HIGH SCHOOL. TIME ESTIMATED BY RADAR. (JAX)
2217,100,1 ESE REIDSVILLE,TATTNALL,GA,32.08,-82.1,TATTNALL COUNTY 911 CALL CENTER REPORTED THAT HAIL THE SIZE OF QUARTERS FELL AT THE OFFICE. (CHS)
